City,State,Datetime,US_AQI,PM2_5_ugm3,AirIntel_Risk_Score,Risk_Category
Chennai,Tamil Nadu,2025-09-06 19:00:00,136.0,27.5,18.802333333333337,Safe
Kohima,Nagaland,2025-03-28 05:00:00,159.0,112.5,28.732999999999997,Moderate
Patna,Bihar,2024-09-20 01:00:00,100.0,38.8,12.287666666666667,Safe
Shillong,Meghalaya,2023-02-24 03:00:00,78.0,28.2,24.341,Safe
Delhi,Delhi,2025-09-17 09:00:00,121.0,49.6,28.374666666666666,Moderate
Chennai,Tamil Nadu,2023-08-23 16:00:00,78.0,23.7,14.245000000000001,Safe
Hyderabad,Telangana,2024-02-04 16:00:00,102.0,26.3,26.275333333333336,Moderate
Raipur,Chhattisgarh,2024-06-06 06:00:00,125.0,42.1,14.672666666666666,Safe
Itanagar,Arunachal Pradesh,2024-02-23 16:00:00,70.0,23.7,26.266,Moderate
Bhopal,Madhya Pradesh,2025-05-03 14:00:00,89.0,15.5,16.623333333333335,Safe
Panaji,Goa,2023-06-23 01:00:00,43.0,7.7,12.382333333333332,Safe
Guwahati,Assam,2025-01-25 20:00:00,175.0,110.8,39.824666666666666,Moderate
Lucknow,Uttar Pradesh,2022-08-23 16:00:00,73.0,18.5,7.889333333333333,Safe
Dehradun,Uttarakhand,2025-07-22 15:00:00,80.0,14.4,8.023,Safe
Itanagar,Arunachal Pradesh,2023-12-08 00:00:00,52.0,9.6,28.214,Moderate
Ranchi,Jharkhand,2023-03-12 10:00:00,93.0,46.4,20.546333333333333,Safe
Gangtok,Sikkim,2025-07-22 00:00:00,46.0,9.0,17.552999999999997,Safe
Shimla,Himachal Pradesh,2025-11-15 19:00:00,116.0,26.8,34.891666666666666,Moderate
Panaji,Goa,2025-09-27 13:00:00,29.0,4.4,7.787333333333334,Safe
Bengaluru,Karnataka,2025-11-18 23:00:00,79.0,15.0,17.779,Safe
Bhopal,Madhya Pradesh,2023-08-31 01:00:00,90.0,34.1,16.38733333333333,Safe
Bhopal,Madhya Pradesh,2024-11-19 23:00:00,163.0,78.0,30.691000000000003,Moderate
Bhubaneswar,Odisha,2022-10-17 16:00:00,135.0,53.2,21.63866666666667,Safe
Agartala,Tripura,2024-05-11 00:00:00,149.0,85.7,26.545333333333332,Moderate
Chandigarh,Punjab,2023-08-02 08:00:00,120.0,48.0,20.323,Safe
Patna,Bihar,2024-06-29 14:00:00,69.0,23.1,13.062000000000001,Safe
Bengaluru,Karnataka,2025-07-20 21:00:00,22.0,6.2,7.368333333333332,Safe
Agartala,Tripura,2024-10-16 01:00:00,160.0,66.1,28.14666666666667,Moderate
Visakhapatnam,Andhra Pradesh,2024-06-07 08:00:00,87.0,30.3,10.366,Safe
Lucknow,Uttar Pradesh,2022-12-28 20:00:00,158.0,71.2,30.731666666666666,Moderate
Gangtok,Sikkim,2022-11-11 10:00:00,76.0,21.5,26.440333333333335,Moderate
Dehradun,Uttarakhand,2022-11-23 07:00:00,90.0,21.8,19.586333333333332,Safe
Ahmedabad,Gujarat,2023-10-17 09:00:00,87.0,22.3,22.487666666666666,Safe
Gangtok,Sikkim,2023-12-01 11:00:00,37.0,6.8,26.71333333333333,Moderate
Panaji,Goa,2024-11-12 08:00:00,141.0,42.1,31.084666666666667,Moderate
Kohima,Nagaland,2024-12-05 15:00:00,65.0,13.2,21.524,Safe
Bhubaneswar,Odisha,2024-11-28 22:00:00,160.0,45.4,27.24566666666667,Moderate
Ranchi,Jharkhand,2025-09-19 04:00:00,99.0,52.4,26.000333333333334,Moderate
Patna,Bihar,2023-01-15 22:00:00,156.0,78.2,31.074333333333335,Moderate
Patna,Bihar,2022-11-17 06:00:00,164.0,102.4,34.37466666666667,Moderate
Guwahati,Assam,2025-07-16 16:00:00,63.0,13.5,11.440999999999999,Safe
Imphal,Manipur,2025-05-28 12:00:00,42.0,4.9,8.833666666666666,Safe
Imphal,Manipur,2022-10-20 08:00:00,60.0,9.3,18.822,Safe
Kolkata,West Bengal,2025-09-18 19:00:00,72.0,40.6,22.744666666666667,Safe
Hyderabad,Telangana,2025-05-08 16:00:00,109.0,15.6,17.951,Safe
Aizawl,Mizoram,2025-06-20 13:00:00,33.0,6.2,3.455333333333334,Safe
Chandigarh,Punjab,2025-01-31 23:00:00,158.0,99.0,32.405,Moderate
Ahmedabad,Gujarat,2024-02-16 23:00:00,154.0,52.3,28.173666666666666,Moderate
Visakhapatnam,Andhra Pradesh,2023-10-20 19:00:00,154.0,42.5,17.26233333333333,Safe
Chennai,Tamil Nadu,2023-07-24 11:00:00,49.0,10.9,5.129666666666666,Safe
Mumbai,Maharashtra,2023-03-24 19:00:00,73.0,19.6,13.754666666666667,Safe
Raipur,Chhattisgarh,2023-06-19 11:00:00,88.0,27.8,17.291333333333334,Safe
Itanagar,Arunachal Pradesh,2024-06-11 19:00:00,75.0,35.0,22.893333333333334,Safe
Bhubaneswar,Odisha,2024-02-26 12:00:00,151.0,50.3,32.91433333333333,Moderate
Panaji,Goa,2023-10-11 22:00:00,111.0,41.6,21.462333333333333,Safe
Ranchi,Jharkhand,2025-10-01 18:00:00,105.0,39.1,25.18266666666667,Moderate
Chandigarh,Punjab,2024-02-08 07:00:00,91.0,29.6,25.54933333333333,Moderate
Agartala,Tripura,2023-10-23 14:00:00,106.0,20.5,10.746666666666668,Safe
Gurugram,Haryana,2022-10-25 08:00:00,157.0,80.8,21.732666666666667,Safe
Chandigarh,Punjab,2023-12-27 00:00:00,156.0,72.9,35.495999999999995,Moderate
Visakhapatnam,Andhra Pradesh,2024-05-28 19:00:00,154.0,44.8,22.625666666666667,Safe
Imphal,Manipur,2025-06-14 12:00:00,92.0,10.0,8.347666666666665,Safe
Bengaluru,Karnataka,2022-10-02 11:00:00,35.0,13.7,9.304333333333332,Safe
Shillong,Meghalaya,2024-05-20 09:00:00,115.0,36.6,13.569,Safe
Kolkata,West Bengal,2022-08-18 08:00:00,129.0,48.1,20.593666666666667,Safe
Delhi,Delhi,2024-10-06 21:00:00,128.0,46.4,17.440333333333335,Safe
Mumbai,Maharashtra,2025-08-13 05:00:00,64.0,13.7,11.816333333333333,Safe
Mumbai,Maharashtra,2023-09-19 22:00:00,53.0,12.3,5.738,Safe
Panaji,Goa,2023-10-01 03:00:00,36.0,18.3,9.886,Safe
Lucknow,Uttar Pradesh,2023-05-10 23:00:00,90.0,48.3,17.598,Safe
Dehradun,Uttarakhand,2024-03-09 11:00:00,60.0,22.4,20.349333333333334,Safe
Patna,Bihar,2024-06-04 09:00:00,154.0,74.0,25.844333333333335,Moderate
Delhi,Delhi,2022-10-20 07:00:00,172.0,108.5,33.67333333333333,Moderate
Shimla,Himachal Pradesh,2024-01-20 15:00:00,107.0,46.1,28.757333333333335,Moderate
Bengaluru,Karnataka,2023-07-23 00:00:00,16.0,2.2,1.5196666666666667,Safe
Hyderabad,Telangana,2023-09-22 02:00:00,47.0,9.0,4.765,Safe
Agartala,Tripura,2025-01-30 21:00:00,189.0,108.5,35.635333333333335,Moderate
Chennai,Tamil Nadu,2023-03-13 01:00:00,84.0,30.6,10.293000000000001,Safe
Kolkata,West Bengal,2024-03-16 09:00:00,138.0,47.8,16.734666666666666,Safe
Gurugram,Haryana,2024-02-19 14:00:00,152.0,50.1,35.669,Moderate
Chandigarh,Punjab,2025-08-19 09:00:00,104.0,19.3,10.194666666666667,Safe
Hyderabad,Telangana,2023-04-09 19:00:00,100.0,18.0,9.998,Safe
Visakhapatnam,Andhra Pradesh,2025-11-14 11:00:00,153.0,52.9,27.62366666666667,Moderate
Agartala,Tripura,2022-11-13 03:00:00,146.0,59.6,28.209333333333333,Moderate
Gangtok,Sikkim,2024-08-22 17:00:00,38.0,9.8,9.110333333333333,Safe
Guwahati,Assam,2025-06-22 09:00:00,59.0,10.3,13.739666666666666,Safe
Raipur,Chhattisgarh,2025-02-06 20:00:00,152.0,68.9,36.86233333333333,Moderate
Mumbai,Maharashtra,2025-11-17 05:00:00,146.0,44.5,26.026666666666667,Moderate
Chandigarh,Punjab,2022-09-07 00:00:00,105.0,45.9,13.473,Safe
Agartala,Tripura,2024-01-06 03:00:00,150.0,68.5,37.54266666666666,Moderate
Ahmedabad,Gujarat,2023-12-22 17:00:00,90.0,28.1,25.300333333333334,Moderate
Gangtok,Sikkim,2024-01-23 01:00:00,74.0,21.2,18.269333333333332,Safe
Imphal,Manipur,2025-08-24 12:00:00,40.0,1.8,11.377,Safe
Dehradun,Uttarakhand,2024-04-07 06:00:00,49.0,7.4,17.761333333333333,Safe
Delhi,Delhi,2022-11-01 18:00:00,277.0,184.4,57.49933333333333,High
Kolkata,West Bengal,2025-03-30 16:00:00,125.0,31.4,13.200333333333333,Safe
Thiruvananthapuram,Kerala,2023-02-19 19:00:00,123.0,25.2,22.789,Safe
Bhopal,Madhya Pradesh,2025-05-16 22:00:00,79.0,40.0,15.588666666666667,Safe
Chennai,Tamil Nadu,2023-11-25 20:00:00,65.0,28.8,23.65,Safe
Gurugram,Haryana,2025-02-26 13:00:00,167.0,59.6,44.291333333333334,Moderate
Chandigarh,Punjab,2023-11-24 22:00:00,103.0,35.5,22.130666666666666,Safe
Shillong,Meghalaya,2022-12-18 15:00:00,58.0,9.3,15.668000000000001,Safe
Guwahati,Assam,2023-02-12 04:00:00,151.0,49.7,27.544333333333334,Moderate
Bhopal,Madhya Pradesh,2023-02-05 22:00:00,97.0,38.0,26.970333333333333,Moderate
Kolkata,West Bengal,2023-09-17 14:00:00,66.0,18.5,20.389333333333333,Safe
Panaji,Goa,2023-07-13 04:00:00,41.0,8.4,4.314,Safe
Shimla,Himachal Pradesh,2022-11-12 21:00:00,61.0,13.0,24.304666666666666,Safe
Bhopal,Madhya Pradesh,2025-04-21 08:00:00,65.0,29.0,21.215333333333334,Safe
Raipur,Chhattisgarh,2025-08-06 02:00:00,135.0,51.7,21.30166666666667,Safe
Bengaluru,Karnataka,2024-09-18 09:00:00,41.0,12.2,9.849333333333334,Safe
Lucknow,Uttar Pradesh,2023-01-20 08:00:00,217.0,226.8,65.23,High
Aizawl,Mizoram,2025-05-13 23:00:00,122.0,44.2,22.302666666666667,Safe
Jaipur,Rajasthan,2024-06-18 15:00:00,73.0,18.5,16.761333333333333,Safe
Ranchi,Jharkhand,2025-03-14 04:00:00,58.0,29.6,21.875333333333334,Safe
Imphal,Manipur,2025-03-11 20:00:00,192.0,102.9,33.643,Moderate
Guwahati,Assam,2025-05-25 07:00:00,68.0,8.2,14.286666666666667,Safe
Chennai,Tamil Nadu,2025-07-18 18:00:00,53.0,15.7,5.868666666666667,Safe
Raipur,Chhattisgarh,2025-06-03 21:00:00,109.0,45.4,14.113666666666667,Safe
Gangtok,Sikkim,2025-07-15 17:00:00,53.0,8.9,13.112333333333334,Safe
Gangtok,Sikkim,2023-10-31 02:00:00,32.0,3.9,15.991,Safe
Visakhapatnam,Andhra Pradesh,2025-01-12 06:00:00,163.0,86.4,36.446,Moderate
Panaji,Goa,2022-10-18 19:00:00,41.0,11.3,12.519333333333332,Safe
Thiruvananthapuram,Kerala,2024-03-04 08:00:00,77.0,23.7,8.976,Safe
Ahmedabad,Gujarat,2022-09-19 11:00:00,102.0,21.9,15.853000000000002,Safe
Panaji,Goa,2022-12-31 14:00:00,91.0,29.7,25.564999999999998,Moderate
Jaipur,Rajasthan,2025-08-13 19:00:00,82.0,22.8,9.067,Safe
Chandigarh,Punjab,2025-07-21 21:00:00,147.0,55.2,25.333,Moderate
Ahmedabad,Gujarat,2023-01-09 18:00:00,155.0,62.2,29.243666666666666,Moderate
Gurugram,Haryana,2025-11-13 07:00:00,182.0,149.5,44.89066666666666,Moderate
Kohima,Nagaland,2023-09-23 08:00:00,31.0,6.4,16.209666666666667,Safe
Gangtok,Sikkim,2025-05-10 22:00:00,78.0,28.8,17.294,Safe
Jaipur,Rajasthan,2025-03-16 07:00:00,153.0,75.4,34.587666666666664,Moderate
Chennai,Tamil Nadu,2024-02-24 09:00:00,78.0,21.7,18.805666666666667,Safe
Bhubaneswar,Odisha,2023-11-20 09:00:00,84.0,27.3,24.716,Safe
Raipur,Chhattisgarh,2025-10-19 10:00:00,158.0,59.3,18.555333333333333,Safe
Gangtok,Sikkim,2025-01-09 22:00:00,133.0,77.3,41.14833333333333,Moderate
Itanagar,Arunachal Pradesh,2025-01-18 19:00:00,67.0,32.9,31.567333333333334,Moderate
Delhi,Delhi,2024-06-30 06:00:00,95.0,25.1,18.656333333333333,Safe
Visakhapatnam,Andhra Pradesh,2023-09-14 16:00:00,72.0,17.4,7.712,Safe
Agartala,Tripura,2023-08-29 12:00:00,144.0,58.9,25.474666666666664,Moderate
Bengaluru,Karnataka,2023-09-04 13:00:00,55.0,14.2,11.015666666666666,Safe
Bengaluru,Karnataka,2023-06-12 11:00:00,37.0,9.5,9.073333333333334,Safe
Bhubaneswar,Odisha,2024-07-26 21:00:00,47.0,9.3,4.77,Safe
Ranchi,Jharkhand,2024-08-14 14:00:00,71.0,15.7,20.401666666666667,Safe
Kolkata,West Bengal,2024-10-16 12:00:00,172.0,80.8,35.91766666666666,Moderate
Shillong,Meghalaya,2025-04-15 08:00:00,87.0,30.3,23.233999999999998,Safe
Aizawl,Mizoram,2023-10-12 10:00:00,77.0,9.6,15.283,Safe
Visakhapatnam,Andhra Pradesh,2022-10-16 06:00:00,51.0,23.5,11.687666666666667,Safe
Raipur,Chhattisgarh,2023-01-26 00:00:00,169.0,136.9,51.55666666666667,High
Chennai,Tamil Nadu,2025-07-20 13:00:00,50.0,10.5,5.099,Safe
Kolkata,West Bengal,2022-12-22 12:00:00,260.0,157.9,53.14266666666667,High
Shimla,Himachal Pradesh,2024-01-04 05:00:00,63.0,11.4,29.295,Moderate
Hyderabad,Telangana,2024-11-13 20:00:00,111.0,36.9,22.459,Safe
Lucknow,Uttar Pradesh,2023-07-25 08:00:00,79.0,28.5,14.459,Safe
Chennai,Tamil Nadu,2025-08-11 10:00:00,62.0,15.1,6.530666666666667,Safe
Delhi,Delhi,2023-12-02 20:00:00,166.0,96.9,34.015,Moderate
Jaipur,Rajasthan,2025-04-10 11:00:00,164.0,33.5,29.784333333333336,Moderate
Gangtok,Sikkim,2024-06-09 22:00:00,57.0,17.3,14.469333333333335,Safe
Agartala,Tripura,2025-10-28 16:00:00,153.0,24.6,19.621000000000002,Safe
Chandigarh,Punjab,2023-06-02 07:00:00,90.0,28.6,23.375666666666667,Safe
Thiruvananthapuram,Kerala,2025-08-29 07:00:00,27.0,6.4,2.8986666666666667,Safe
Agartala,Tripura,2022-11-27 00:00:00,131.0,59.1,31.955000000000002,Moderate
Mumbai,Maharashtra,2025-06-23 21:00:00,65.0,14.3,6.984333333333334,Safe
Thiruvananthapuram,Kerala,2025-02-14 12:00:00,82.0,32.0,24.71333333333333,Safe
Aizawl,Mizoram,2025-08-17 16:00:00,35.0,6.6,8.441,Safe
Imphal,Manipur,2025-01-31 09:00:00,161.0,52.7,28.013333333333335,Moderate
Mumbai,Maharashtra,2022-12-13 11:00:00,174.0,51.7,29.601666666666663,Moderate
Raipur,Chhattisgarh,2025-06-12 21:00:00,84.0,34.9,10.150666666666666,Safe
Kohima,Nagaland,2025-08-15 02:00:00,40.0,11.3,12.292333333333334,Safe
Ranchi,Jharkhand,2025-03-30 07:00:00,77.0,26.4,23.955,Safe
Bhopal,Madhya Pradesh,2023-03-18 14:00:00,119.0,47.7,19.823999999999998,Safe
Hyderabad,Telangana,2022-12-21 23:00:00,153.0,68.9,34.87833333333334,Moderate
Guwahati,Assam,2023-06-22 19:00:00,65.0,31.1,21.632333333333335,Safe
Lucknow,Uttar Pradesh,2023-06-27 07:00:00,87.0,28.1,15.042333333333332,Safe
Kolkata,West Bengal,2023-06-11 16:00:00,123.0,46.0,19.952666666666666,Safe
Hyderabad,Telangana,2025-03-13 03:00:00,87.0,28.5,9.774999999999999,Safe
Visakhapatnam,Andhra Pradesh,2025-04-03 23:00:00,73.0,21.4,16.049666666666667,Safe
Thiruvananthapuram,Kerala,2025-05-30 20:00:00,38.0,8.7,4.166,Safe
Chennai,Tamil Nadu,2022-09-17 17:00:00,104.0,37.5,17.518,Safe
Shillong,Meghalaya,2023-03-13 18:00:00,112.0,30.0,20.253,Safe
Hyderabad,Telangana,2025-08-31 18:00:00,47.0,16.6,5.820666666666666,Safe
Thiruvananthapuram,Kerala,2024-05-28 13:00:00,53.0,10.5,5.519,Safe
Dehradun,Uttarakhand,2023-06-08 21:00:00,133.0,18.2,25.636333333333333,Moderate
Shimla,Himachal Pradesh,2023-04-25 11:00:00,68.0,24.4,13.158666666666667,Safe
Agartala,Tripura,2023-05-06 02:00:00,97.0,53.1,26.583,Moderate
Gangtok,Sikkim,2024-10-21 08:00:00,58.0,7.5,13.473,Safe
Visakhapatnam,Andhra Pradesh,2024-06-01 11:00:00,81.0,25.2,14.675,Safe
Jaipur,Rajasthan,2024-04-13 22:00:00,102.0,42.6,18.976,Safe
Shillong,Meghalaya,2022-11-21 08:00:00,51.0,8.8,23.044666666666668,Safe
Ranchi,Jharkhand,2024-02-19 05:00:00,74.0,24.0,18.579,Safe
Hyderabad,Telangana,2025-10-20 22:00:00,59.0,17.1,6.382,Safe
Kolkata,West Bengal,2024-10-15 00:00:00,163.0,95.2,28.77266666666667,Moderate
Patna,Bihar,2025-04-03 20:00:00,137.0,50.9,28.156333333333333,Moderate
Chennai,Tamil Nadu,2024-11-28 12:00:00,146.0,62.2,32.88766666666667,Moderate
Bhubaneswar,Odisha,2024-11-12 04:00:00,87.0,24.9,24.709,Safe
Bengaluru,Karnataka,2025-04-20 13:00:00,118.0,34.1,13.222333333333333,Safe
Mumbai,Maharashtra,2025-09-06 09:00:00,68.0,17.0,7.512333333333334,Safe
Chennai,Tamil Nadu,2023-12-23 19:00:00,115.0,35.4,23.375,Safe
Jaipur,Rajasthan,2024-01-04 10:00:00,161.0,75.7,31.29266666666667,Moderate
Delhi,Delhi,2022-09-11 11:00:00,152.0,37.7,16.377333333333333,Safe
Mumbai,Maharashtra,2023-11-25 04:00:00,153.0,53.8,33.166666666666664,Moderate
Imphal,Manipur,2025-01-06 18:00:00,95.0,24.3,27.961,Moderate
Mumbai,Maharashtra,2024-08-25 21:00:00,68.0,22.9,13.484666666666667,Safe
Gurugram,Haryana,2024-03-31 09:00:00,150.0,89.9,37.99333333333333,Moderate
Panaji,Goa,2024-12-10 02:00:00,92.0,39.2,26.170333333333332,Moderate
Shimla,Himachal Pradesh,2023-09-02 11:00:00,75.0,28.5,9.538,Safe
Jaipur,Rajasthan,2023-02-19 13:00:00,165.0,42.7,28.008666666666667,Moderate
Mumbai,Maharashtra,2025-11-19 23:00:00,200.0,62.6,37.114333333333335,Moderate
Hyderabad,Telangana,2025-05-03 06:00:00,89.0,27.0,14.897999999999998,Safe
Raipur,Chhattisgarh,2024-07-18 00:00:00,65.0,22.3,15.637666666666668,Safe
Imphal,Manipur,2023-12-13 20:00:00,47.0,15.0,23.549,Safe
Ranchi,Jharkhand,2024-12-14 16:00:00,130.0,27.1,23.09466666666667,Safe
Gurugram,Haryana,2025-07-04 03:00:00,110.0,42.1,18.66766666666667,Safe
Visakhapatnam,Andhra Pradesh,2023-05-22 15:00:00,70.0,23.7,8.368,Safe
Lucknow,Uttar Pradesh,2025-02-26 12:00:00,157.0,43.8,41.036,Moderate
Guwahati,Assam,2025-05-15 08:00:00,85.0,20.6,16.842333333333336,Safe
Delhi,Delhi,2024-05-29 12:00:00,142.0,58.2,32.382,Moderate
Ranchi,Jharkhand,2023-08-10 09:00:00,74.0,23.1,14.617,Safe
Shillong,Meghalaya,2025-04-12 22:00:00,74.0,28.8,13.98,Safe
Patna,Bihar,2024-07-04 04:00:00,62.0,10.9,6.151666666666666,Safe
Bhopal,Madhya Pradesh,2025-06-24 15:00:00,38.0,5.8,11.609666666666666,Safe
Hyderabad,Telangana,2022-10-16 02:00:00,72.0,8.3,6.670333333333334,Safe
Bengaluru,Karnataka,2024-03-25 19:00:00,103.0,19.5,22.437,Safe
Gangtok,Sikkim,2023-10-03 16:00:00,28.0,3.6,10.633000000000001,Safe
Imphal,Manipur,2024-08-23 23:00:00,47.0,16.4,5.5553333333333335,Safe
Gurugram,Haryana,2023-11-12 04:00:00,153.0,32.8,26.115666666666666,Moderate
Panaji,Goa,2023-09-02 12:00:00,45.0,9.0,4.911,Safe
Bhubaneswar,Odisha,2022-10-17 17:00:00,136.0,61.5,30.614,Moderate
Chennai,Tamil Nadu,2022-09-11 17:00:00,65.0,27.8,13.328333333333333,Safe
Itanagar,Arunachal Pradesh,2023-09-27 14:00:00,49.0,12.5,13.302333333333333,Safe
Kolkata,West Bengal,2025-02-13 06:00:00,153.0,67.8,41.89,Moderate
